timestamp,SN,counter,time,lat,lon,alt,vSpeed,eSpeed,nSpeed,sats,temp,rh,battery,rssi
2026-01-03T23:21:47.079788,1, 1392, 1767478906, 0, 0, -17000, 0, 0, 0, 0, 5476, 114, 21, -61.00
2026-01-03T23:21:48.079503,1, 1393, 1767478907, 0, 0, -17000, 0, 0, 0, 0, 5476, 115, 21, -61.00
2026-01-03T23:21:49.070277,1, 1394, 1767478908, 0, 0, -17000, 0, 0, 0, 0, 5456, 116, 21, -61.00
2026-01-03T23:21:50.085477,1, 1395, 1767478909, 0, 0, -17000, 0, 0, 0, 0, 5445, 115, 21, -60.00
2026-01-03T23:21:51.064505,1, 1396, 1767478910, 0, 0, -17000, 0, 0, 0, 0, 5456, 115, 21, -61.00
2026-01-03T23:21:52.079038,1, 1397, 1767478911, 0, 0, -17000, 0, 0, 0, 0, 5445, 115, 21, -61.00
2026-01-03T23:21:53.075513,1, 1398, 1767478912, 0, 0, -17000, 0, 0, 0, 0, 5435, 115, 21, -61.00
2026-01-03T23:21:54.073683,1, 1399, 1767478913, 0, 0, -17000, 0, 0, 0, 0, 5466, 115, 21, -60.00
2026-01-03T23:21:55.086510,1, 1400, 1767478914, 0, 0, -17000, 0, 0, 0, 0, 5476, 116, 21, -61.00
2026-01-03T23:21:56.073951,1, 1401, 1767478915, 0, 0, -17000, 0, 0, 0, 0, 5476, 116, 22, -61.00
2026-01-03T23:21:57.074525,1, 1402, 1767478916, 0, 0, -17000, 0, 0, 0, 0, 5506, 116, 22, -61.00
2026-01-03T23:21:58.068617,1, 1403, 1767478917, 0, 0, -17000, 0, 0, 0, 0, 5506, 115, 22, -61.00
2026-01-03T23:21:59.070670,1, 1404, 1767478918, 0, 0, -17000, 0, 0, 0, 0, 5466, 115, 21, -61.00
2026-01-03T23:22:00.079160,1, 1405, 1767478919, 0, 0, -17000, 0, 0, 0, 0, 5466, 116, 22, -60.00
2026-01-03T23:22:01.065750,1, 1406, 1767478920, 0, 0, -17000, 0, 0, 0, 0, 5486, 116, 21, -61.00
2026-01-03T23:22:02.065764,1, 1407, 1767478921, 0, 0, -17000, 0, 0, 0, 0, 5486, 115, 21, -60.00
2026-01-03T23:22:03.067819,1, 1408, 1767478922, 0, 0, -17000, 0, 0, 0, 0, 5496, 116, 22, -60.00
2026-01-03T23:22:04.072812,1, 1409, 1767478923, 0, 0, -17000, 0, 0, 0, 0, 5456, 115, 22, -60.00
2026-01-03T23:22:05.074903,1, 1410, 1767478924, 0, 0, -17000, 0, 0, 0, 0, 5456, 115, 22, -61.00
2026-01-03T23:22:06.064511,1, 1411, 1767478925, 0, 0, -17000, 0, 0, 0, 0, 5445, 115, 22, -60.00
2026-01-03T23:22:07.079261,1, 1412, 1767478926, 0, 0, -17000, 0, 0, 0, 0, 5445, 117, 22, -61.00
2026-01-03T23:22:08.072564,1, 1413, 1767478927, 0, 0, -17000, 0, 0, 0, 0, 5435, 116, 21, -60.00
2026-01-03T23:22:09.073160,1, 1414, 1767478928, 0, 0, -17000, 0, 0, 0, 0, 5476, 117, 21, -60.00
2026-01-03T23:22:10.068950,1, 1415, 1767478929, 0, 0, -17000, 0, 0, 0, 0, 5476, 116, 22, -60.00
2026-01-03T23:22:11.079677,1, 1416, 1767478930, 0, 0, -17000, 0, 0, 0, 0, 5466, 117, 22, -60.00
2026-01-03T23:22:12.083669,1, 1417, 1767478931, 0, 0, -17000, 0, 0, 0, 0, 5476, 115, 22, -60.00
